LECROYWS4104HD,19252,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,28-Nov-2024 18:55:41,0                 
Time,Ampl
2.3338187e-005,0.0293715
2.3338587e-005,0.0317243
2.3338987e-005,0.0293715
2.3339387e-005,0.0270186
2.3339787e-005,0.0317243
2.3340187e-005,0.0223128
2.3340587e-005,0.0223128
2.3340987e-005,0.0293715
2.3341387e-005,0.0270186
2.3341787e-005,0.0246657
2.3342187e-005,0.0317243
2.3342587e-005,0.0317243
2.3342987e-005,0.0246657
2.3343387e-005,0.0246657
2.3343787e-005,0.0246657
2.3344187e-005,0.0223128
2.3344587e-005,0.0317243
2.3344987e-005,0.0246657
2.3345387e-005,0.0293715
2.3345787e-005,0.0199599
2.3346187e-005,0.0246657
2.3346587e-005,0.0270186
2.3346987e-005,0.0246657
2.3347387e-005,0.0293715
2.3347787e-005,0.0270186
2.3348187e-005,0.0176071
2.3348587e-005,0.0246657
2.3348987e-005,0.0317243
2.3349387e-005,0.0199599
2.3349787e-005,0.0199599
2.3350187e-005,0.0152542
2.3350587e-005,0.0105484
2.3350987e-005,0.0152542
2.3351387e-005,0.0105484
2.3351787e-005,0.0270186
2.3352187e-005,0.0246657
2.3352587e-005,0.0129013
2.3352987e-005,0.0223128
2.3353387e-005,0.0199599
2.3353787e-005,0.0293715
2.3354187e-005,0.0293715
2.3354587e-005,0.0293715
2.3354987e-005,0.0270186
2.3355387e-005,0.0223128
2.3355787e-005,0.0246657
2.3356187e-005,0.0340772
2.3356587e-005,0.0176071
2.3356987e-005,0.0246657
2.3357387e-005,0.0270186
2.3357787e-005,0.0270186
2.3358187e-005,0.0223128
2.3358587e-005,0.0223128
2.3358987e-005,0.0364301
2.3359387e-005,0.0223128
2.3359787e-005,0.0223128
2.3360187e-005,0.0129013
2.3360587e-005,0.0270186
2.3360987e-005,0.0176071
2.3361387e-005,0.0199599
2.3361787e-005,0.0223128
2.3362187e-005,0.0199599
2.3362587e-005,0.0270186
2.3362987e-005,0.0246657
2.3363387e-005,0.0246657
2.3363787e-005,0.0270186
2.3364187e-005,0.0223128
2.3364587e-005,0.0293715
